Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
46250 Valencia;4625010 Valencia distrito 10;;Renta neta media por persona ;2017;10.877
46250 Valencia;4625010 Valencia distrito 10;;Renta neta media por persona ;2016;10.565
46250 Valencia;4625010 Valencia distrito 10;;Renta neta media por persona ;2015;10.383
46250 Valencia;4625011 Valencia distrito 11;;Renta neta media por persona ;2021;12.290
46250 Valencia;4625011 Valencia distrito 11;;Renta neta media por persona ;2020;11.698
46250 Valencia;4625011 Valencia distrito 11;;Renta neta media por persona ;2019;11.547
46250 Valencia;4625011 Valencia distrito 11;;Renta neta media por persona ;2018;10.991
46250 Valencia;4625011 Valencia distrito 11;;Renta neta media por persona ;2017;10.450
46250 Valencia;4625011 Valencia distrito 11;;Renta neta media por persona ;2016;10.096
46250 Valencia;4625011 Valencia distrito 11;;Renta neta media por persona ;2015;9.779
46250 Valencia;4625012 Valencia distrito 12;;Renta neta media por persona ;2021;14.262
46250 Valencia;4625012 Valencia distrito 12;;Renta neta media por persona ;2020;13.788
46250 Valencia;4625012 Valencia distrito 12;;Renta neta media por persona ;2019;13.477
46250 Valencia;4625012 Valencia distrito 12;;Renta neta media por persona ;2018;12.861
46250 Valencia;4625012 Valencia distrito 12;;Renta neta media por persona ;2017;12.376
46250 Valencia;4625012 Valencia distrito 12;;Renta neta media por persona ;2016;11.902
46250 Valencia;4625012 Valencia distrito 12;;Renta neta media por persona ;2015;11.567
46250 Valencia;4625013 Valencia distrito 13;;Renta neta media por persona ;2021;15.687
46250 Valencia;4625013 Valencia distrito 13;;Renta neta media por persona ;2020;15.105
46250 Valencia;4625013 Valencia distrito 13;;Renta neta media por persona ;2019;14.877
46250 Valencia;4625013 Valencia distrito 13;;Renta neta media por persona ;2018;14.252
46250 Valencia;4625013 Valencia distrito 13;;Renta neta media por persona ;2017;13.655
46250 Valencia;4625013 Valencia distrito 13;;Renta neta media por persona ;2016;13.392
46250 Valencia;4625013 Valencia distrito 13;;Renta neta media por persona ;2015;13.202
46250 Valencia;4625014 Valencia distrito 14;;Renta neta media por persona ;2021;15.243
46250 Valencia;4625014 Valencia distrito 14;;Renta neta media por persona ;2020;14.834
46250 Valencia;4625014 Valencia distrito 14;;Renta neta media por persona ;2019;14.537
46250 Valencia;4625014 Valencia distrito 14;;Renta neta media por persona ;2018;13.959
46250 Valencia;4625014 Valencia distrito 14;;Renta neta media por persona ;2017;13.208
